Name,Children,Parents,Role,Flow Behavior,Content Category,Notes,Batch,Ready
Badge,,"Accordion / Container,Accordion / Header,Avatar,Checkbox,Chips,Link,Radio,Tag,Toggle,Tooltip,Asset,Button Basic,Button Dropdown,Button Group,Button Icon,Code Editor / Text Area,Edit Mode / View,Edit Mode / Edit,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Progress,Slider,Table / TD Text,Table / TD Link,Table / TD Boolean,Table / TD Tags,Table / TD Person,Table / TD Image,Table / TH Text,Tabs / Tab Item,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Hug,Primitive,,1,checked
Icon,,"Accordion / Container,Accordion / Header,Avatar,Button Inner,Checkbox,Chips,Link,Label,Radio,Tag,Toggle,Tooltip,Asset,Button Basic,Button Dropdown,Button Group,Button Icon,Code Editor / Text Area,Edit Mode / View,Edit Mode / Edit,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Progress,Pull to Refresh,Slider,Table / TD Text,Table / TD Link,Table / TD Boolean,Table / TD Tags,Table / TD Person,Table / TD Image,Table / TH Text,Tabs / Tab Item,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu,Breadcrumbs",Content,Fixed,Primitive,,1,checked
Image,,"Accordion / Container,Asset,Table / TD Text,Table / TD Link,Table / TD Boolean,Table / TD Tags,Table / TD Person,Table / TD Image,Table / TH Text,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,"Fixed,Fill",Primitive,,2,
Indicator,,"Accordion / Container,Accordion / Header,Avatar,Chips,Link,Tag,Tooltip,Asset,Button Basic,Button Dropdown,Button Group,Button Icon,Code Editor / Text Area,Edit Mode / View,Edit Mode / Edit,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Progress,Table / TD Text,Table / TD Link,Table / TD Boolean,Table / TD Tags,Table / TD Person,Table / TD Image,Table / TH Text,Tabs / Tab Item,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fixed,Primitive,,1,checked
Label,Icon,"Accordion / Container,Checkbox,Radio,Toggle,Edit Mode / Edit,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Trigger,"Hug,Fill",Primitive,,1,checked
Loader,,"Accordion / Container,Accordion / Header,Avatar,Button Inner,Checkbox,Chips,Link,Radio,Tag,Toggle,Tooltip,Asset,Button Basic,Button Dropdown,Button Group,Button Icon,Code Editor / Text Area,Edit Mode / View,Edit Mode / Edit,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Progress,Pull to Refresh,Table / TD Text,Table / TD Link,Table / TD Boolean,Table / TD Tags,Table / TD Person,Table / TD Image,Table / TH Text,Tabs / Tab Item,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fixed,Primitive,,1,checked
Button Inner,"Icon,Loader","Accordion / Header,Avatar,Chips,Tag,Tooltip,Asset,Code Editor / Text Area,Edit Mode / Edit,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Progress,Pull to Refresh,Slider,Table / TD Text,Table / TD Link,Table / TD Boolean,Table / TD Tags,Table / TD Actions,Table / TD Expand,Table / TD Person,Table / TD Image,Table / TH Text,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Trigger,Fixed,Element,,1,checked
Checkbox,"Label,Icon,Badge,Loader","Accordion / Container,Asset,Table / TD Checkbox,Table / TH Checkbox,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Hug,Element,,1,checked
Chips,"Icon,Button Inner,Indicator,Badge,Loader","Accordion / Container,Code Editor / Text Area,Edit Mode / Edit,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Hug,Element,,2,
Link,"Icon,Badge,Indicator,Loader","Accordion / Container,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Table / TD Link,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu,Breadcrumbs",Trigger,Hug,Element,,1,checked
Radio,"Label,Icon,Badge,Loader","Accordion / Container,Asset,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Hug,Element,,1,checked
Scrollbar,,"Accordion / Container,Code Editor / Text Area,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fixed,Element,,1,checked
Skeleton Loader,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,,Element,,1,
Tag,"Icon,Button Inner,Badge,Indicator,Loader","Accordion / Container,Accordion / Header,Asset,Button Basic,Button Dropdown,Button Group,Button Icon,Code Editor / Text Area,Edit Mode / View,Edit Mode / Edit,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Table / TD Tags,Tabs / Tab Item,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Hug,Element,,1,checked
Toggle,"Label,Icon,Badge,Loader","Accordion / Container,Accordion / Header,Table / TD Checkbox,Table / TH Checkbox,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Trigger,Hug,Element,,1,checked
Tooltip,"Icon,Indicator,Badge,Button Inner,Loader",,Content,"Absolute,Hug",Element,,2,
